
Company,CollabNet
Product,TeamForge 7.2.0.0.182
Browser,FF 24.0
Test Run,Smoke Test
Test Case,Component,Status,Test File
Ability to login as admin and set the Site Mode to ALM,Login,Fail,loginFirst.test
Ability to creating Site Admin user,Users,Fail,createSiteAdminUser.test
Ability to login as site Admin after changing the password,Login,Fail,siteAdminLoginFirst.test
Ability to create users,Users,Fail,createUsers.test
Abilitu to create private project via Create project,Projects,Fail,projCreate.test
Ability to create Global Roles with Admin Permissions,Roles,Fail,createRoleAdminPer.test
Ability to create Global Roles with Restricted Permissions,Roles,Fail,createRoleRestricPer.test
Ability to set user Membership via project admin in private project,Project Admin,Fail,userMembership.test
Ability to assign the users to admin role,Roles,Fail,userPermission.test
Ability to assign restricted role to the user,Roles,Fail,userPermission2.test
Ability to filter the Project with text as site admin user,Project Admin,Fail,filterProject.test
Ability to create User Groups as Site Admin,User Groups,Fail,createUserGroups.test
Setting Users to user group-Negative Case,User Groups,Fail,settingUsersToGroupNeg.test
Ability to assign users to the user group,User Groups,Fail,settingUsersToGroup.test
Ability to delete user group,User Groups,Fail,deleteUserGroup.test
Ability to update User Group name,User Groups,Fail,updateUserGroup.test
Inability to filter  user group with inavalid filter,User Groups,Fail,filterUserGroupWithoutResult.test
Ability to filter User group with valid filter criteria,User Groups,Fail,filterUserGroupWithResult.test
Ability to cancel user group creation,User Groups,Fail,cancelCreatingUserGroup.test
Inability to filter Users in user group with invalid filter criteria,User Groups,Fail,filterUsersInUserGroupWithoutResult.test
Ability to filter Users in user group with valid filter,User Groups,Fail,filterUsersInUserGroupWithResult.test
Ability to delete the users from user group,User Groups,Fail,deleteUsersInUserGroup.test
Ability tp create subversion integration,Integrations,Fail,createIntegration.test
Ability to create SCM Adapter Integration,Integrations,Fail,createScmIntegration.test
Ability to disable categories,Categories,Fail,setCategoryDisable.test
Setting Categories to be enabled,Categories,Fail,setCategoryEnable.test
Ability to create Category,Categories,Fail,createCategory.test
Ability to update category tilte and description,Categories,Fail,updateCategory.test
Ability to create SubCategory,Categories,Fail,createSubCategory.test
Ability to Cut the Sub Category to clipboard,Categories,Fail,editCategory.test
Inability to paste the sub category to the source location,Categories,Fail,editCategoryNeg.test
Ability to cut Category to clipboard,Categories,Fail,cutCategory.test
Inability to paste sub category in the source location,Categories,Fail,pasteCategoryToItself.test
Ability to cut and paste Category,Categories,Fail,cutPasteCategory.test
Ability to delete category,Categories,Fail,deleteCategory.test
Inability to create duplicate category,Categories,Fail,createDuplicateCategory.test
Ability to remove the broadcast message,BroadCast Message,Fail,verifyClear.test
Ability to add Broadcast message,System Tools,Fail,broadCastMsg.test
Ability to clear Boardcast message,Broadcast message,Fail,clearBoardCastMsg.test
Inability to query from non existing table via Ad hoc database query,System Tools,Fail,adhocDatabaseNeg.test
Ability to view the Adhoc Database result and server status,System Tools,Fail,adhocDatabase.test
Ability to view system log,System Tools,Fail,verifySystemLogs.test
Ability to view the build info,System Tools,Fail,verifyBuildInfo.test
Ability to view the Report by site admin,System Tools,Fail,adminReportLink.test
Ability to view the licence info by site admin,License Info,Fail,adminLicenseLink.test
Ability to change site mode from ALM to SCM,License Info,Fail,changeSiteModeToSCM.test
Ability to change site mode from SCM to ALM,License Info,Fail,changeSiteModeToALM.test
Ability to creating Project Group as site admin user,Project Groups,Fail,createProjectGroup.test
Ability to add Projects to the Project group,Project Groups,Fail,addProjectToGroup.test
Ability to add Users to the Project group,Project Groups,Fail,addUsersToProjGroup.test
Ability to add users to the project group,Project Groups,Fail,settingPerToProjGroup.test
Ability to assign permission to the project group,Project Groups,Fail,settingPerToProjGroup2.test
Ability to set the role via UserGroup Matrix,Roles,Fail,userGroupMatrix.test
Inability to create duplicate Project Group,Project Groups,Fail,duplicateProjectGroup.test
Ability to create Project Group,Project Groups,Fail,createProjectGroup2.test
Ability to delete Project Group,Project Groups,Fail,deleteProjectGroup.test
Ability to cancel Project Group creation,Project Groups,Fail,cancelCreatingProjectGroup.test
Ability to cancel Project Group description update,Project Groups,Fail,cancelEditProjGroup.test
Ability to edit the Project Group description,Project Groups,Fail,editProjectGroup.test
Ability to remove the project from the project group,Project Groups,Fail,removeProjFrmGroup.test
Ability to remove the users from the project group,Project Groups,Fail,removeUsersFrmProjGroup.test
Ability to cancel creating Role to project Group,Project Groups,Fail,cancelCreatingRoleToProjGrp.test
Ability to create Role to project Group,Project Groups,Fail,createRoleToProjGroup.test
Ability to edit role assigned to a project group,Roles,Fail,editProjGroupRole.test
Ability to delete role in a project group,Projects,Fail,deleteProjGroupRole.test
Ability to verify the user role matrix in project group,Project Admin,Fail,verifyUserRoleMatrix.test
Inability to filter from project group by providing invalid filter criteria,Project Groups,Fail,filterProjGroupWithoutResult.test
Ability to filter in project group,Project Groups,Fail,filterProjGroupWithResult.test
Ability to create restricted user,Users,Fail,pCreateUserTester1.test
Ability to create restricted user,Users,Fail,pCreateUserTester2.test
Ability to filter the Restricted users,Users,Fail,filterUsers.test
Ability to create Global Roles with DeleteOnly Permissions,Roles,Fail,pGbDeleteOnly.test
Ability to creating Global Roles with CreateOnly Permissions,Roles,Fail,pGbCreateOnlyRole.test
